Month,Blockheight,"Miner rewards (AR, based on blockheight)",$ price,"Miner rewards ($, based on blockheight)",tx_fees (AR),txfees ($),blockrewards,data fees,"endowment (calculated via 5/6 of blockrewards, actual 49796 end of 04/2023)","#nodes (from viewblock recent and early history, 350 in 2021 is estimated)"
05/2021,698000,"94,534.23",21.978095,2077682.286,600.1,"13,189.01",100.02,534.96,"89,026.86",350
06/2021,718000,"89,676.71",14.677834,1316259.825,429.74,"6,307.58",71.62,376.92,"91,202.31",350
07/2021,739500,"91,269.87",10.03331,915738.8616,435.09,"4,365.39",72.52,403.83,"93,467.66",350
08/2021,760000,"82,334.65",22.80773,1877866.364,453.07,"10,333.47",78.44,383.95,"18,449.76",350
09/2021,781500,"81,699.16",51.84301,4235530.428,"4,669.76","242,094.31",778.29,"4,587.98","38,339.21",350
10/2021,801000,"70,197.44",53.849306,3780083.253,"3,977.89","214,206.66",662.98,"3,903.78","53,161.21",350
11/2021,822000,"71,666.76",65.851141,4719338.022,"2,964.40","195,208.93",494.07,"2,922.08","60,093.61",350
12/2021,843000,"67,805.18",51.119878,3466192.52,"1,386.48","70,876.88",229.27,"1,365.32","29,283.68",350
01/2022,864000,"64,151.67",45.639728,2927864.751,"1,167.36","53,278.12",194.56,"1,160.04","37,231.93",350
02/2022,883000,"55,058.30",32.904857,1811685.343,"1,589.65","52,307.16",264.94,"1,585.54","46,269.13",350
03/2022,904000,"57,728.34",32.975133,1903599.783,"1,807.44","59,600.69",301.24,"1,797.07","52,515.73",350
04/2022,924500,"53,352.22",31.588546,1685319.092,"1,249.32","39,464.29",209.37,"1,252.17","34,127.35",350
05/2022,945000,"50,544.08",17.423151,880637.2117,"2,480.81","43,223.54",413.47,"2,484.71","43,583.75",350
06/2022,966000,"49,019.61",10.876759,533174.4669,"1,891.28","20,570.99",315.21,"1,886.46","51,493.30",350
07/2022,986000,"44,227.58",13.007767,575302.0931,"1,581.91","20,577.14",263.65,"1,578.91","57,604.45",32
08/2022,1007000,"43,995.22",13.322961,586146.5989,"1,222.23","16,283.66",201.78,"1,219.90","40,109.46",67
09/2022,1027000,"39,694.37",9.930908,394201.0882,"1,337.19","13,279.53",220.8,"1,254.38","41,225.85",64
10/2022,1047000,"37,654.72",9.734127,366535.8276,"2,089.87","20,343.05",358.1,"2,142.76","42,957.62",54
11/2022,1065000,"32,232.09",10.441942,336565.5636,"1,522.46","15,897.39",239.98,"1,421.93","44,240.10",65
12/2022,1090000,"42,302.51",8.023514,339414.7917,648.32,"5,201.78",108.05,639.94,"48,187.35",67
01/2023,1110000,"31,890.01",8.52313,271802.728,789.45,"6,728.61",131.58,782.8,"51,361.35",62
02/2023,1128000,"27,297.55",11.845124,323342.8695,634.8,"7,519.28",105.8,627,"66,562.35",82
03/2023,1150000,"31,650.79",8.5587,31650.79015,"3,040.20","26,020.16",506.7,"2,421.00","77,443.35",107
04/2023,1170000,"27,222.40",8.39,"27,222.40","2,176.20","18,258.32",362.7,"2,160.00","77,443.35",94
05/2023,1190000,"25,823.61",6.95,"25,823.61",,,,,,75
06/2023,1210000,"24,496.70",5.62,"24,496.70",,,,,,62
07/2023,1230000,"23,237.96",5.78,"23,237.96",,,,,,52
08/2023,1251000,"23,115.88",4.83,"23,115.88",,,,,,50
09/2023,1273000,"22,881.87",4.18,"22,881.87",,,,,,57
10/2023,1296000,"22,543.91",4.22,"22,543.91",,,,,,50
11/2023,1316000,"18,521.98",7.34,"18,521.98",,,,,,53
12/2023,1336000,"17,570.26",9.19,"17,570.26",,,,,,55
01/2024,1356000,"16,667.43",9.19,"16,667.43",,,,,,52
02/2024,1376000,"15,810.99",11.77,"15,810.99",,,,,,55
03/2024,1396000,"14,998.57",36.11,"14,998.57",,,,,,71
04/2024,1415000,"13,534.17",31.69,"13,534.17",,,,,,90
05/2024,1435000,"13,532.45",40.4,"13,532.45",,,,,,116
06/2024,1456000,"13,461.35",33.07,"13,461.35",,,,,,147
07/2024,1476000,"12,145.41",27.8,"12,145.41",,,,,,145
08/2024,1498000,"12,640.39",22.83,"12,640.39",,,,,,193
09/2024,1518000,"10,871.82",20.79,"10,871.82",,,,,,231
10/2024,1539000,"10,814.70",18.5,"10,814.70",,,,,,253
11/2024,1558000,"9,281.74",18.06,"9,281.74",,,,,,230
12/2024,1578000,"9,280.55",21.31,"9,280.55",,,,,,245
01/2025,1600000,"9,658.78",16.01,"9,658.78",,,,,,275
